formula,avg_1st_ionization_potential_(kJ/mol),avg_Allred-Rockow_electronegativity,avg_Atomic_Number,avg_Atomic_Radus,avg_Atomic_Weight,avg_Boiling_Point_(K),avg_Cohesive_energy,avg_Covalent_Radius,avg_Critical_Temperature,avg_Density_(g/mL),avg_Gordy_electonegativity,avg_Melting_point_(K),avg_Mendele_Number,avg_Molar_Denstiy_(mol/ml),avg_Molar_Heat_Capacity(J/mol_K),avg_Nagle_electonegativity,avg_Number_of_unfilled_d_valence_electrons,avg_Number_of_unfilled_f_valence_electrons,avg_Number_of_unfilled_p_valence_electrons,avg_Number_of_unfilled_s_valence_electrons,avg_Orbital_Radius(pm),avg_Pauling_Electronegativity,avg_Period,avg_Zunger_radii_sum,avg_abs_valence,avg_families,avg_gilmor_number_of_valence_electron,avg_group,avg_heat_atomization(kJ/mol),avg_heat_of_fusion_(kJ/mol)_,avg_heat_of_vaporization_(kJ/mol)_,avg_ionic_radius,avg_l_quantum_number,avg_metallic_valence,avg_number_of_valence_electrons,avg_outer_shell_electrons,avg_polarizability(A^3),avg_specific_heat_(J/g_K)_,avg_thermal_conductivity_(W/(m_K))_,avg_valence_d,avg_valence_f,avg_valence_p,avg_valence_s,sum_1st_ionization_potential_(kJ/mol),sum_Allred-Rockow_electronegativity,sum_Atomic_Number,sum_Atomic_Radus,sum_Atomic_Weight,sum_Boiling_Point_(K),sum_Cohesive_energy,sum_Covalent_Radius,sum_Critical_Temperature,sum_Density_(g/mL),sum_Gordy_electonegativity,sum_Melting_point_(K),sum_Mendele_Number,sum_Molar_Denstiy_(mol/ml),sum_Molar_Heat_Capacity(J/mol_K),sum_Nagle_electonegativity,sum_Number_of_unfilled_d_valence_electrons,sum_Number_of_unfilled_f_valence_electrons,sum_Number_of_unfilled_p_valence_electrons,sum_Number_of_unfilled_s_valence_electrons,sum_Orbital_Radius(pm),sum_Pauling_Electronegativity,sum_Period,sum_Zunger_radii_sum,sum_abs_valence,sum_families,sum_gilmor_number_of_valence_electron,sum_group,sum_heat_atomization(kJ/mol),sum_heat_of_fusion_(kJ/mol)_,sum_heat_of_vaporization_(kJ/mol)_,sum_ionic_radius,sum_l_quantum_number,sum_metallic_valence,sum_number_of_valence_electrons,sum_outer_shell_electrons,sum_polarizability(A^3),sum_specific_heat_(J/g_K)_,sum_thermal_conductivity_(W/(m_K))_,sum_valence_d,sum_valence_f,sum_valence_p,sum_valence_s,range_1st_ionization_potential_(kJ/mol),range_Allred-Rockow_electronegativity,range_Atomic_Number,range_Atomic_Radus,range_Atomic_Weight,range_Boiling_Point_(K),range_Cohesive_energy,range_Covalent_Radius,range_Critical_Temperature,range_Density_(g/mL),range_Gordy_electonegativity,range_Melting_point_(K),range_Mendele_Number,range_Molar_Denstiy_(mol/ml),range_Molar_Heat_Capacity(J/mol_K),range_Nagle_electonegativity,range_Number_of_unfilled_d_valence_electrons,range_Number_of_unfilled_f_valence_electrons,range_Number_of_unfilled_p_valence_electrons,range_Number_of_unfilled_s_valence_electrons,range_Orbital_Radius(pm),range_Pauling_Electronegativity,range_Period,range_Zunger_radii_sum,range_abs_valence,range_families,range_gilmor_number_of_valence_electron,range_group,range_heat_atomization(kJ/mol),range_heat_of_fusion_(kJ/mol)_,range_heat_of_vaporization_(kJ/mol)_,range_ionic_radius,range_l_quantum_number,range_metallic_valence,range_number_of_valence_electrons,range_outer_shell_electrons,range_polarizability(A^3),range_specific_heat_(J/g_K)_,range_thermal_conductivity_(W/(m_K))_,range_valence_d,range_valence_f,range_valence_p,range_valence_s,target
DyIn3S6,824.7,2.1609999999999996,30.9,1.224,69.938,1420.67,2.77,1.2029999999999998,3571.4,4.289999999999999,5.31614,529.01,78.4,0.05925999999999999,24.3475,2.059,7.0,13.0,3.3,0.0,107.56,2.204,3.9,1.642,2.6999999999999997,6.0,4.8,13.8,269.4,3.116,98.34,1.24,1.2000000000000002,2.532,4.8,4.3999999999999995,7.1,0.512,25.711999999999996,3.0,1.0,2.6999999999999997,2.0,8247.0,21.61,309.0,12.239999999999998,699.38,14206.7,27.700000000000003,12.030000000000001,35714.0,42.9,53.1614,5290.1,784.0,0.5926,243.47500000000002,20.590000000000003,70.0,130.0,33.0,0.0,1075.6,22.04,39.0,16.42,27.0,60.0,48.0,138.0,2694.0,31.16,983.4,12.4,12.0,25.32,48.0,44.0,71.0,5.12,257.11999999999995,30.0,10.0,27.0,20.0,442.0,1.4999999999999998,50.0,1.4,130.43,2122.3,0.52,0.5700000000000001,6326.0,6.48,1.6199999999999992,1299.2,57.0,0.007399999999999997,4.855,1.4000000000000001,10.0,10.0,4.0,0.0,94.0,1.36,3.0,2.57,4.0,4.0,3.0,13.0,48.0,9.34,221.7,0.75,2.0,1.44,3.0,4.0,21.6,0.5399999999999999,81.33,10.0,10.0,4.0,0.0,1.22
K4Ba2Nb4S22,852.8125,2.103125,22.0,1.314375,47.1325,1369.13125,3.140625,1.24125,2473.125,2.8206249999999997,5.0874999999999995,712.41875,67.3125,0.056874999999999995,24.09,2.029375,9.5,14.0,3.25,0.25,115.45,2.131875,3.5625,1.775,3.5,5.5625,4.75,11.875,305.0625,5.258125,110.84625,1.2781250000000002,0.9375,2.25,5.0,4.5,11.8625,0.626875,20.848125000000003,0.5,0.0,2.75,1.75,27290.0,67.3,704.0,42.06,1508.24,43812.2,100.5,39.72,79140.0,90.25999999999999,162.79999999999998,22797.4,2154.0,1.8199999999999998,770.88,64.94,304.0,448.0,104.0,8.0,3694.4,68.22,114.0,56.8,112.0,178.0,152.0,380.0,9762.0,168.26,3547.08,40.900000000000006,30.0,72.0,160.0,144.0,379.6,20.06,667.1400000000001,16.0,0.0,88.0,56.0,581.0,1.8599999999999999,40.0,1.65,105.26000000000002,4297.299999999999,6.640000000000001,0.96,7386.0,7.71,3.0599999999999996,2404.75,85.0,0.06999999999999999,6.550000000000001,1.6500000000000004,4.0,0.0,4.0,1.0,135.2,1.7600000000000002,3.0,2.59,3.0,6.0,5.0,15.0,636.0,24.68,672.2,1.2000000000000002,2.0,4.0,5.0,5.0,40.5,0.55,102.13000000000001,4.0,0.0,4.0,1.0,1.77
K2Ho4Cu4S9,796.9473684210526,1.9226315789473682,29.789473684210524,1.4536842105263157,67.40796210526315,1672.6394736842103,2.8436842105263156,1.3126315789473684,3591.3684210526317,4.8100000000000005,4.996168421052632,871.5552631578946,62.421052631578945,0.0712421052631579,24.51186341052631,1.8173684210526317,7.894736842105263,11.684210526315788,4.105263157894737,0.3157894736842105,122.55789473684209,1.9673684210526317,3.9473684210526314,2.1073684210526316,2.2105263157894735,4.894736842105263,4.0,10.631578947368421,276.1578947368421,6.37578947368421,127.00736842105263,1.3578947368421053,1.526315789473684,2.829473684210526,5.894736842105264,3.5789473684210527,12.321052631578947,0.5289473684210526,98.73842105263158,2.1052631578947367,2.3157894736842106,1.894736842105263,1.6842105263157894,15142.0,36.53,566.0,27.619999999999997,1280.75128,31780.15,54.03,24.939999999999998,68236.0,91.39,94.9272,16559.55,1186.0,1.3536000000000001,465.72540480000004,34.53,150.0,222.0,78.0,6.0,2328.6,37.379999999999995,75.0,40.04,42.0,93.0,76.0,202.0,5247.0,121.14,2413.14,25.8,29.0,53.760000000000005,112.0,68.0,234.1,10.05,1876.03,40.0,44.0,36.0,32.0,581.0,1.8599999999999999,51.0,1.5500000000000003,132.86032,2255.3,2.56,0.94,6256.0,8.100000000000001,3.0599999999999996,1410.75,85.0,0.12000000000000001,6.550000000000001,1.6500000000000004,10.0,11.0,4.0,1.0,135.2,1.7600000000000002,3.0,2.59,4.0,6.0,5.0,15.0,248.0,11.33,290.5,1.2000000000000002,3.0,4.44,10.0,5.0,40.5,0.59,400.73,10.0,11.0,4.0,1.0,2.43
Pb0.9Mn0.1Te,792.55,2.0018000000000002,64.15,1.3885,159.78699999999998,1649.15,2.1544999999999996,1.4060000000000001,3810.85,8.621500000000001,5.02018,707.475,84.05000000000001,0.05675,26.1997,1.9000000000000001,0.25,7.7,3.1,0.0,116.61500000000001,1.969,5.4,1.8865,3.15,5.45,5.05,14.649999999999999,200.75,11.50705,117.53999999999999,1.58,1.05,2.387,5.15,2.9000000000000004,6.28,0.1825,17.451,9.75,6.3,2.9,2.0,1585.1,4.0036000000000005,128.3,2.777,319.57399999999996,3298.3,4.308999999999999,2.8120000000000003,7621.7,17.243000000000002,10.04036,1414.95,168.10000000000002,0.1135,52.3994,3.8000000000000003,0.5,15.4,6.2,0.0,233.23000000000002,3.938,10.8,3.773,6.3,10.9,10.1,29.299999999999997,401.5,23.0141,235.07999999999998,3.16,2.1,4.774,10.3,5.800000000000001,12.56,0.365,34.902,19.5,12.6,5.8,4.0,153.0,0.41000000000000014,57.0,0.3800000000000001,152.26,972.2,0.8900000000000001,0.11999999999999988,3071.0,5.16,2.1000000000000005,916.5000000000001,38.0,0.09000000000000001,1.4160000000000004,0.72,5.0,14.0,4.0,0.0,16.700000000000003,0.55,2.0,0.5500000000000003,3.0,2.0,2.0,9.0,85.0,12.690999999999999,173.45,0.40000000000000013,1.0,3.7800000000000002,3.0,2.0,3.9000000000000004,0.35,32.949999999999996,5.0,14.0,4.0,0.0,0.49
RbInSnS4,810.0,2.0785714285714283,28.57142857142857,1.3114285714285714,63.89714285714285,1246.6928571428573,2.5585714285714287,1.2914285714285714,2841.142857142857,3.4899999999999993,5.058571428571428,398.6785714285714,73.0,0.05428571428571428,25.065714285714286,2.0014285714285713,7.142857142857142,14.0,3.285714285714285,0.14285714285714285,116.41428571428571,2.1257142857142854,3.8571428571428568,1.7757142857142856,2.8571428571428568,5.571428571428571,4.571428571428571,13.142857142857142,249.57142857142856,2.7657142857142856,91.24571428571429,1.3357142857142856,0.8571428571428571,2.3485714285714283,4.571428571428571,4.142857142857142,10.899999999999999,0.5228571428571428,29.639999999999993,2.8571428571428568,0.0,2.714285714285714,1.857142857142857,5670.0,14.55,200.0,9.18,447.28,8726.85,17.91,9.04,19888.0,24.43,35.41,2790.75,511.0,0.38,175.45999999999998,14.010000000000002,50.0,98.0,23.0,1.0,814.9,14.88,27.0,12.43,20.0,39.0,32.0,92.0,1747.0,19.36,638.72,9.350000000000001,6.0,16.439999999999998,32.0,29.0,76.3,3.6599999999999997,207.48000000000002,20.0,0.0,19.0,13.0,597.0,1.88,34.0,1.77,86.63999999999999,1825.3000000000002,2.29,1.0899999999999999,5416.0,5.779999999999999,2.6599999999999997,193.09999999999997,84.0,0.039999999999999994,8.25,1.6600000000000001,10.0,0.0,4.0,1.0,147.7,1.7600000000000002,2.0,2.9999999999999996,3.0,6.0,5.0,15.0,216.0,5.3100000000000005,286.0,1.35,1.0,3.0,5.0,5.0,44.4,0.48,81.33,10.0,0.0,4.0,1.0,2.7
PbGa2GeSe6,828.2,2.1944,38.0,1.169,89.301,1621.75,2.626,1.217,3958.2,5.726000000000001,5.22804,536.8,84.19999999999999,0.0645,25.339599999999997,2.055,9.0,12.600000000000001,3.0,0.0,103.21000000000001,2.28,4.2,1.479,3.0,6.300000000000001,5.0,15.0,250.7,9.305900000000001,125.22,1.255,1.0,2.532,5.0,5.0,5.1899999999999995,0.311,17.952,1.0,1.4000000000000001,3.0,2.0,8282.0,21.944000000000003,380.0,11.69,893.01,16217.5,26.259999999999998,12.169999999999998,39582.0,57.260000000000005,52.2804,5368.0,842.0,0.645,253.39600000000002,20.549999999999997,90.0,126.0,30.0,0.0,1032.1,22.799999999999997,42.0,14.790000000000001,30.0,63.0,50.0,150.0,2507.0,93.059,1252.2,12.55,10.0,25.32,50.0,50.0,51.9,3.11,179.52,10.0,14.0,30.0,20.0,362.0,0.6700000000000002,51.0,0.51,137.48,2145.0,1.8200000000000003,0.31000000000000005,6643.0,6.61,1.5899999999999999,917.5999999999999,15.0,0.025,3.6960000000000015,0.75,10.0,14.0,3.0,0.0,33.60000000000001,0.7399999999999998,2.0,0.7999999999999998,3.0,2.0,3.0,3.0,181.0,32.141,293.2,0.6500000000000001,0.0,2.0,3.0,3.0,4.3,0.24,59.379999999999995,10.0,14.0,3.0,0.0,1.96
EuYb2S4,821.8571428571429,1.947142857142857,38.14285714285714,1.467142857142857,89.475,1087.4071428571428,2.3514285714285714,1.2928571428571427,2670.8571428571427,3.9228571428571426,5.771699999999999,689.0357142857142,65.0,0.05072857142857143,24.335099999999997,1.897142857142857,9.999999999999998,9.0,3.714285714285714,0.0,119.74285714285713,1.96,4.285714285714286,2.217142857142857,4.428571428571429,5.285714285714286,4.7142857142857135,10.428571428571427,228.28571428571428,4.4871428571428575,62.92857142857143,1.3357142857142856,1.857142857142857,2.0,4.7142857142857135,4.285714285714286,11.614285714285714,0.47428571428571425,12.11142857142857,0.0,5.0,2.2857142857142856,2.0,5753.0,13.629999999999999,267.0,10.27,626.3249999999999,7611.85,16.46,9.05,18696.0,27.46,40.4019,4823.25,455.0,0.35509999999999997,170.3457,13.280000000000001,70.0,63.0,26.0,0.0,838.2,13.72,30.0,15.52,31.0,37.0,33.0,73.0,1598.0,31.41,440.5,9.35,13.0,14.0,33.0,30.0,81.3,3.32,84.78,0.0,35.0,16.0,14.0,453.0,1.4999999999999998,54.0,1.4300000000000002,140.97,1084.3000000000002,1.25,0.8300000000000001,3286.0,4.9,1.0008,709.2,63.0,0.025499999999999995,4.5837,1.4300000000000002,0.0,14.0,4.0,0.0,101.6,1.48,3.0,2.84,3.0,4.0,3.0,13.0,127.0,7.490000000000001,133.7,0.8500000000000001,2.0,0.0,3.0,4.0,24.8,0.5599999999999999,34.629999999999995,0.0,14.0,4.0,0.0,1.6
Hg0.01Cd0.99Se,905.1949999999999,1.9762,41.16,1.3205,96.1259,996.1100000000001,1.80755,1.32005,2352.375,6.744249999999999,4.8616345,540.3009999999999,79.505,0.0699365,25.57016005,1.8804500000000002,5.0,13.93,3.9999999999999996,0.0,105.071,2.12155,4.505,1.75595,2.0,5.5,3.5,14.0,169.245,6.4205250000000005,68.433295,1.3497499999999998,0.51,3.22,9.0,4.0,5.491,0.27454500000000004,48.217699999999994,5.0,0.07,2.0,2.0,1810.3899999999999,3.9524,82.32,2.641,192.2518,1992.2200000000003,3.6151,2.6401,4704.75,13.488499999999998,9.723269,1080.6019999999999,159.01,0.139873,51.1403201,3.7609000000000004,10.0,27.86,7.999999999999999,0.0,210.142,4.2431,9.01,3.5119,4.0,11.0,7.0,28.0,338.49,12.841050000000001,136.86659,2.6994999999999996,1.02,6.44,18.0,8.0,10.982,0.5490900000000001,96.43539999999999,10.0,0.14,4.0,4.0,139.0,0.9100000000000001,46.0,0.6799999999999999,121.63000000000001,408.0000000000001,1.79,0.33000000000000007,1225.0,8.71,4.3269,359.79999999999995,19.0,0.020000000000000004,2.612009999999998,0.8600000000000001,10.0,14.0,4.0,0.0,26.60000000000001,0.8599999999999999,2.0,1.12,4.0,3.0,5.0,4.0,166.0,4.3950000000000005,61.86999999999999,0.40000000000000013,2.0,2.4400000000000004,6.0,4.0,3.4000000000000004,0.181,96.28,10.0,14.0,4.0,0.0,0.29
VO2,1093.0,2.916666666666666,13.0,0.8899999999999999,27.64666666666666,1277.8166666666666,3.5166666666666666,0.9033333333333333,2079.72,2.0366666666666666,6.646666666666666,757.55,73.33333333333333,0.039999999999999994,18.133333333333333,2.8366666666666664,9.0,13.999999999999998,3.333333333333333,0.0,76.69999999999999,2.836666666666666,2.6666666666666665,1.1233333333333333,3.6666666666666665,5.999999999999999,5.0,12.333333333333332,337.3333333333333,7.113333333333332,153.27333333333334,0.85,1.3333333333333333,1.6666666666666665,5.666666666666666,4.666666666666667,4.659999999999999,0.7766666666666666,10.253333333333332,1.0,0.0,2.6666666666666665,2.0,3279.0,8.75,39.0,2.67,82.94,3833.4500000000003,10.55,2.71,6239.16,6.11,19.939999999999998,2272.65,220.0,0.12,54.400000000000006,8.51,27.0,42.0,10.0,0.0,230.1,8.51,8.0,3.37,11.0,18.0,15.0,37.0,1012.0,21.34,459.82,2.55,4.0,5.0,17.0,14.0,13.98,2.33,30.759999999999998,3.0,0.0,8.0,6.0,663.0,2.08,15.0,1.23,34.94,3563.0,2.6899999999999995,0.52,5775.42,6.11,5.169999999999999,2108.4,41.0,0.12,10.24,2.35,3.0,0.0,4.0,0.0,95.1,1.81,2.0,1.9600000000000002,1.0,3.0,3.0,11.0,265.0,20.68,449.59,0.7500000000000001,1.0,5.0,1.0,4.0,11.61,0.43000000000000005,30.669999999999998,3.0,0.0,4.0,0.0,0.466
InSb0.2As0.8,741.2,1.912,42.800000000000004,1.369,99.554,1754.95,2.7190000000000003,1.334,4712.0,6.616,4.683,741.3500000000001,79.6,0.067,25.65,1.7919999999999998,4.0,14.0,4.0,0.0,121.07,1.967,4.6,1.77,2.0,5.5,4.0,14.0,268.5,14.697,137.368,1.38,1.0,3.22,4.0,3.2,7.2299999999999995,0.268,63.23,6.0,0.0,2.0,2.0,1482.4,3.824,85.60000000000001,2.738,199.108,3509.9,5.438000000000001,2.668,9424.0,13.232,9.366,1482.7000000000003,159.2,0.134,51.3,3.5839999999999996,8.0,28.0,8.0,0.0,242.14,3.934,9.2,3.54,4.0,11.0,8.0,28.0,537.0,29.394,274.736,2.76,2.0,6.44,8.0,6.4,14.459999999999999,0.536,126.46,12.0,0.0,4.0,4.0,389.0,0.55,18.0,0.42000000000000015,46.84,1463.0,0.43999999999999995,0.25,4630.0,1.5799999999999992,0.9399999999999995,660.4000000000001,10.0,0.03,1.6900000000000013,0.5899999999999999,10.0,0.0,2.0,0.0,38.099999999999994,0.40000000000000013,1.0,0.6299999999999999,2.0,1.0,2.0,2.0,59.0,24.439999999999998,196.74,0.40000000000000013,0.0,0.43999999999999995,2.0,3.0,5.3999999999999995,0.12000000000000002,57.3,10.0,0.0,2.0,0.0,0.12
