formula,actual,predicted,elements,residual
Cd4GdB3O10,1.08,0.8536612060325393,Cd Gd B O,0.2263387939674608
LiGd5P2O13,0.11,0.44035343977375696,Li Gd P O,-0.33035343977375703
GdAs,2.58,3.51341261184504,Gd As,-0.9334126118450397
Gd2S3,2.13,2.0598676399567903,Gd S,0.07013236004320955
Gd2Te3,3.64,3.4617017009409192,Gd Te,0.1782982990590809
K2Gd2Ti3O10,1.59,0.641040588295736,K Gd Ti O,0.948959411704264
GdB66,1.4533333333333331,1.5335794255039428,Gd B,-0.08024609217060963
Gd2ZrS5,2.3480000000000003,1.7892201294255559,Gd Zr S,0.5587798705744442
Gd2Mo3O12,4.125,3.5941905044292897,Gd Mo O,0.5308094955707103
Gd1.05Sc0.95Se3,1.36,1.2668991223511314,Gd Sc Se,0.09310087764886864
GdIn3S6,2.37,2.9113730219563134,Gd In S,-0.5413730219563129
Ba2InGdTe5,1.5,1.1376433360135592,Ba In Gd Te,0.3623566639864408
CsGdZnTe3,0.23,1.4800932160449802,Cs Gd Zn Te,-1.2500932160449802
GdTe,0.55,0.5464116797020493,Gd Te,0.003588320297950753
Gd4GaSbS9,0.42,0.6979496258144762,Gd Ga Sb S,-0.2779496258144762
CaGd2S4,4.2,3.7938699237527262,Ca Gd S,0.4061300762472739
Gd2O3,2.2,2.106276360964598,Gd O,0.09372363903540216
Gd6Ge2.5S14,3.6,2.1757403022208006,Gd Ge S,1.4242596977791997
Ba2GaGdTe5,2.6,2.5207436485443804,Ba Ga Gd Te,0.07925635145561971
Na2GdP2O8,1.92,2.497945501730979,Na Gd P O,-0.5779455017309791
Gd3.04Sc0.96S6,1.88,1.9929646485952588,Gd Sc S,-0.1129646485952589
GdH2NO5,1.5,1.519302217072803,Gd H N O,-0.019302217072803
Cu3GdSe3,4.23,3.805824464194784,Cu Gd Se,0.42417553580521705
GdB6,1.5,1.477317161516349,Gd B,0.022682838483651047
Mn2.04Gd1.47In0.49S5,1.45,1.4681922007926391,Mn Gd In S,-0.018192200792638943
GdN,3.8,5.2886045101209715,Gd N,-1.4886045101209726
Ba2GaGdSe5,4.4700000000000015,5.066473718065349,Ba Ga Gd Se,-0.5964737180653472
Gd2Mn4S7,1.7269999999999999,2.0741928236820497,Gd Mn S,-0.3471928236820496
Gd2Se3,0.67,0.7787619145787534,Gd Se,-0.1087619145787534
K2Gd2Sb2Se9,3.99,5.984641365697018,K Gd Sb Se,-1.994641365697018
Al0.74Gd3Si0.7S7,3.85,3.628179250228344,Al Gd Si S,0.22182074977165644
Mn1.95GdIn1.05S5,1.81,1.6947324232879897,Mn Gd In S,0.11526757671201038
Ba2InGdSe5,2.67,2.6344190355219883,Ba In Gd Se,0.035580964478011616
Ba3Gd2P4S16,0.9,0.8400045569593306,Ba Gd P S,0.05999544304066939
Cu3GdS3,1.62,1.2879997137549388,Cu Gd S,0.3320002862450613
Cu3GdTe3,0.52,0.36627781027533146,Cu Gd Te,0.15372218972466856
Gd1.87Lu2.13Se6,1.56,1.6093512612872267,Gd Lu Se,-0.04935126128722666
GdSb2BO8,3.48,3.876809304046017,Gd Sb B O,-0.396809304046017
GdScS3,2.1,2.116983940403454,Gd Sc S,-0.016983940403453968
Na5GdMo4O16,3.3760000000000003,3.764232599325336,Na Gd Mo O,-0.388232599325336
