formula,actual,predicted,elements,residual
K4Ba2Nb4S22,0.29,0.9576653972943046,'K' 'Ba' 'Nb' 'S',-0.6676653972943045
K2Ho4Cu4S9,1.9266666666666663,1.7839293601350317,'K' 'Ho' 'Cu' 'S',0.14273730653163466
K3Ta2AsSe11,2.44,2.0983324243061907,'K' 'Ta' 'As' 'Se',0.34166757569380923
K2Sb8Se3,4.45,3.3329054599224133,'K' 'Sb' 'Se',1.117094540077587
KCuThS3,0.32,2.425403414430632,'K' 'Cu' 'Th' 'S',-2.1054034144306315
KCu3S2,7.843333333333334,7.4297710671249595,'K' 'Cu' 'S',0.4135622662083742
K9Bi13S24,4.68,3.992275389231677,'K' 'Bi' 'S',0.6877246107683228
KPSe6,2.0,1.9200697259377344,'K' 'P' 'Se',0.0799302740622656
K2CuGa3Se6,0.5,0.5043872656186164,'K' 'Cu' 'Ga' 'Se',-0.004387265618616354
KGaSe2,0.7,1.5015388679801145,'K' 'Ga' 'Se',-0.8015388679801145
K2Cd2Te3,1.126,0.7954003675376935,'K' 'Cd' 'Te',0.3305996324623064
K2Mo2Se2O11,2.9,2.7765007247297984,'K' 'Mo' 'Se' 'O',0.12349927527020155
K10Zn4Sn4S17,2.6,1.964797148561244,'K' 'Zn' 'Sn' 'S',0.635202851438756
KI,0.59,0.3418588755668548,'K' 'I',0.2481411244331452
K2ZnSn3S8,2.23,2.2313722557280737,'K' 'Zn' 'Sn' 'S',-0.0013722557280737568
KSi2P3,1.0,1.2370869645188505,'K' 'Si' 'P',-0.2370869645188505
KAg2SbS4,2.25,2.1454519502427143,'K' 'Ag' 'Sb' 'S',0.10454804975728572
K10Mn4Sn4S17,1.04,1.3434781607403448,'K' 'Mn' 'Sn' 'S',-0.3034781607403447
K2AuPS4,2.17,2.3557099415488083,'K' 'Au' 'P' 'S',-0.1857099415488084
K2CdP2Se6,0.85,1.3180071640482236,'K' 'Cd' 'P' 'Se',-0.4680071640482236
K2Gd2Ti3O10,1.59,0.641040588295736,'K' 'Gd' 'Ti' 'O',0.948959411704264
K2Ag3Sb3S7,1.625,2.0334769649127207,'K' 'Ag' 'Sb' 'S',-0.4084769649127207
KZn4B3O9,1.9,0.9629690428080524,'K' 'Zn' 'B' 'O',0.9370309571919476
KRbBi8Se13,3.0,2.909904188939177,'K' 'Rb' 'Bi' 'Se',0.0900958110608232
K8Ga8Si38,2.27,1.8918996344775367,'K' 'Ga' 'Si',0.3781003655224633
KEuAsS4,2.98,2.7863779523457284,'K' 'Eu' 'As' 'S',0.1936220476542716
K2ZnTe2,1.595,1.8478098935165381,'K' 'Zn' 'Te',-0.2528098935165381
K2Cu2ThS4,4.13,5.943816063133139,'K' 'Cu' 'Th' 'S',-1.8138160631331388
KV2I3O13,2.87,2.9317792710851025,'K' 'V' 'I' 'O',-0.0617792710851024
KF,2.955,2.1916504072727294,'K' 'F',0.7633495927272707
K2Cu2Sn2S6,1.18,0.8141837081873264,'K' 'Cu' 'Sn' 'S',0.3658162918126735
K10Zn4Ge4S17,0.35,0.29780777490475163,'K' 'Zn' 'Ge' 'S',0.052192225095248346
KFeCuTe2,0.46,2.253171072130894,'K' 'Fe' 'Cu' 'Te',-1.7931710721308942
K2Ge4Se8,2.796818181818182,2.998599576399525,'K' 'Ge' 'Se',-0.20178139458134314
KBaB5O9,3.0,3.8045167573942513,'K' 'Ba' 'B' 'O',-0.8045167573942513
KBaSbSe3,2.8,2.160215249121256,'K' 'Ba' 'Sb' 'Se',0.6397847508787438
K2TiCu2S4,1.29,1.4342230548933284,'K' 'Ti' 'Cu' 'S',-0.14422305489332832
KInSe2,2.1,0.8916962899725771,'K' 'In' 'Se',1.208303710027423
K6CdTe4,1.15,1.2675370063827869,'K' 'Cd' 'Te',-0.11753700638278695
K2RbSb,5.39,3.919644653067314,'K' 'Rb' 'Sb',1.4703553469326858
K3Ga3Ge7Se20,4.0,4.095598606144653,'K' 'Ga' 'Ge' 'Se',-0.09559860614465343
KBaAsSe3,0.8,0.9125120356941688,'K' 'Ba' 'As' 'Se',-0.1125120356941688
KUO3Cl,4.84,3.781259675727489,'K' 'U' 'O' 'Cl',1.0587403242725109
K2SmP2S7,0.206,0.13658744834981995,'K' 'Sm' 'P' 'S',0.06941255165018004
KYTe2O6,1.96,1.8087809978098672,'K' 'Y' 'Te' 'O',0.15121900219013273
K3Ga3Ge7S20,6.4,4.917013407511012,'K' 'Ga' 'Ge' 'S',1.482986592488988
K2.15Pb1.7Sb8.15Se15,6.15,6.757810064607503,'K' 'Pb' 'Sb' 'Se',-0.6078100646075031
K3B6O10Cl,0.221,0.6703494303650244,'K' 'B' 'O' 'Cl',-0.4493494303650244
K6Nb2.97Ta1.03S25,1.69,1.4438294354682908,'K' 'Nb' 'Ta' 'S',0.2461705645317092
K2CuIn3Se6,3.22,3.085712120859444,'K' 'Cu' 'In' 'Se',0.1342878791405564
KBiCu2S3,1.89,2.2771857423152992,'K' 'Bi' 'Cu' 'S',-0.38718574231529934
K2AgSnSe4,2.8,2.982555714576722,'K' 'Ag' 'Sn' 'Se',-0.18255571457672204
K4Nb2S11,1.95,1.671507297021452,'K' 'Nb' 'S',0.2784927029785481
K2Cd3Se4,2.35,2.4291321519340725,'K' 'Cd' 'Se',-0.07913215193407241
KSbSe2,4.53,5.28523109262598,'K' 'Sb' 'Se',-0.75523109262598
KCd4Ga5Se12,0.5,1.2089178063240975,'K' 'Cd' 'Ga' 'Se',-0.7089178063240975
KAgAsS2,0.8,1.126784182242619,'K' 'Ag' 'As' 'S',-0.32678418224261896
K2Ta15O32,9.9,3.694137424716348,'K' 'Ta' 'O',6.2058625752836525
K2Cu2Sn2Se6,3.65,3.4974565097500543,'K' 'Cu' 'Sn' 'Se',0.15254349024994562
K8Ce2I18O53,3.75,3.0227810832533235,'K' 'Ce' 'I' 'O',0.7272189167466765
KH3Se2O6,0.35,0.7066297954285288,'K' 'H' 'Se' 'O',-0.3566297954285288
KSbS2,2.2,2.177275775658944,'K' 'Sb' 'S',0.022724224341056143
K4In4P6Se20,2.31,2.3502672729181158,'K' 'In' 'P' 'Se',-0.04026727291811572
K2Hg3S2.69Se1.31,2.27,2.0291714393460563,'K' 'Hg' 'S' 'Se',0.24082856065394376
K2Se,2.12,1.8887460839145955,'K' 'Se',0.2312539160854045
K1.46Sn3.09Bi7.45Se15,1.6949999999999998,1.5305313639411633,'K' 'Sn' 'Bi' 'Se',0.16446863605883655
K2Hg3Ge2S8,2.53,2.500699350655493,'K' 'Hg' 'Ge' 'S',0.02930064934450672
K3Bi2I9,1.23,1.2911641435230603,'K' 'Bi' 'I',-0.06116414352306033
K0.8Hg1.2Sn2S8,10.0,9.816187157151258,'K' 'Hg' 'Sn' 'S',0.18381284284874155
KTaO3,0.79,1.5290687579684583,'K' 'Ta' 'O',-0.7390687579684583
K2Au2Sn2Se6,0.9,1.6124489760244796,'K' 'Au' 'Sn' 'Se',-0.7124489760244795
K3Nb2AsSe11,3.27,2.454822936475677,'K' 'Nb' 'As' 'Se',0.815177063524323
KNb3Se2O12,1.9,2.1066080707941652,'K' 'Nb' 'Se' 'O',-0.20660807079416527
K2CuNbSe4,6.28,5.374876922102244,'K' 'Cu' 'Nb' 'Se',0.9051230778977564
KH2PO4,0.48,0.9727635047891692,'K' 'H' 'P' 'O',-0.4927635047891692
K3SmAs2S8,1.74,1.4253923760299312,'K' 'Sm' 'As' 'S',0.3146076239700688
KBiSiS4,2.38,2.8539939697136245,'K' 'Bi' 'Si' 'S',-0.4739939697136246
KZrPSe6,3.16,2.7964718839941987,'K' 'Zr' 'P' 'Se',0.3635281160058015
KAg2SbS3,0.4,0.6122255284730018,'K' 'Ag' 'Sb' 'S',-0.2122255284730018
K2Au2SnS4,1.85,2.0193608225372914,'K' 'Au' 'Sn' 'S',-0.16936082253729134
KSb5S8,1.37,1.6335804002198957,'K' 'Sb' 'S',-0.2635804002198956
KBiS2,1.93,1.874541711974186,'K' 'Bi' 'S',0.05545828802581386
K6Nb1.07Ta2.93S22,1.4,1.4047315639639892,'K' 'Nb' 'Ta' 'S',-0.004731563963989327
K10Co4Sn4S17,0.65,0.6825929233902429,'K' 'Co' 'Sn' 'S',-0.03259292339024289
K6Yb3P5S20,1.88,2.029519215444563,'K' 'Yb' 'P' 'S',-0.14951921544456326
KCeSe4,0.2,0.29159971740915314,'K' 'Ce' 'Se',-0.09159971740915313
K2CuVS4,1.08,0.9608365721297192,'K' 'Cu' 'V' 'S',0.11916342787028088
K2MnSn2Se6,3.76,3.2606563722541435,'K' 'Mn' 'Sn' 'Se',0.4993436277458563
K2HgP2Se6,3.5,3.343611170741608,'K' 'Hg' 'P' 'Se',0.15638882925839193
K2Sn3Sb2S10,1.28,1.2881239194665826,'K' 'Sn' 'Sb' 'S',-0.00812391946658253
KAlGeS4,2.35,2.397826836849245,'K' 'Al' 'Ge' 'S',-0.04782683684924472
K3CdB5O10,1.6,1.4893838717640593,'K' 'Cd' 'B' 'O',0.1106161282359408
K2La2Sb2S9,2.35,2.9353534512762662,'K' 'La' 'Sb' 'S',-0.5853534512762661
KTbSe4,0.3,2.0586585013462098,'K' 'Tb' 'Se',-1.7586585013462106
