formula,actual,predicted,elements,residual
Hg0.01Cd0.99Se,3.67,5.61657907462188,Hg Cd Se,-1.9465790746218798
Hg0.77Cd0.23Te,1.725,1.869572860901881,Hg Cd Te,-0.14457286090188082
Hg2Cu3Te6O16,0.55,2.83058748097943,Hg Cu Te O,-2.28058748097943
TlHg6S4Br5,1.2733333333333334,1.446571536742196,Tl Hg S Br,-0.17323820340886265
HgBrCl,3.3,2.9533349022233875,Hg Br Cl,0.3466650977766124
BaHgSe2,1.45,2.083896141174419,Ba Hg Se,-0.6338961411744191
Hg2I2Te2,6.53,7.017646974029588,Hg I Te,-0.4876469740295874
Hg0.6Cd0.4Se,0.78,0.7823073785191621,Hg Cd Se,-0.0023073785191620733
Na2Hg3Sn2S8,2.0,1.7260276638044427,Na Hg Sn S,0.2739723361955573
HgSc,1.63,1.2629009972166596,Hg Sc,0.3670990027833403
Hg0.14Zn0.86Te,0.6,0.6470980702266029,Hg Zn Te,-0.04709807022660295
Hg0.25Zn0.75Te,1.9,2.3225681806007947,Hg Zn Te,-0.4225681806007948
Hg0.72Cd0.28Te,1.0,1.3799039419927208,Hg Cd Te,-0.3799039419927208
Rb2Hg3Ge2S8,3.58,2.5632564767580828,Rb Hg Ge S,1.0167435232419173
HgBr2,0.79,1.2368830753874231,Hg Br,-0.4468830753874231
Hg2Cl2,2.26,2.8028791073651558,Hg Cl,-0.5428791073651564
Hg0.7Cd0.3Te,1.1,1.1645531876266069,Hg Cd Te,-0.064553187626607
Zn0.55Hg0.45Se,6.53,6.661125848169688,Zn Hg Se,-0.1311258481696873
Na2Hg3Ge2S8,0.85,0.8050431681290009,Na Hg Ge S,0.04495683187099908
Hg0.9Cd0.1Se,3.5,2.7156141528830884,Hg Cd Se,0.7843858471169116
CsSmHgSe3,3.225,3.0630377381623326,Cs Sm Hg Se,0.16196226183766704
Hg4As2ZrCl6,1.5494374999999998,1.3751807008962351,Hg As Zr Cl,0.1742567991037649
Hg4As2UCl6,3.8,3.964999647518991,Hg As U Cl,-0.1649996475189912
Hg6P6In2Cl9,2.15,1.4821009037741222,Hg P In Cl,0.6678990962258777
Ga0.95Sb0.95Hg0.05Te0.05,1.7,1.0528594045149164,Ga Sb Hg Te,0.6471405954850835
Tl2Hg3Te4,1.36,1.5718225461279447,Tl Hg Te,-0.2118225461279446
Hg0.4Cd0.6Se,3.35,2.3862529648954167,Hg Cd Se,0.9637470351045834
Hg4P2HfCl6,4.119999999999999,2.435488134838584,Hg P Hf Cl,1.684511865161415
Hg4As2.5InBr3.5,2.13,1.91494682217172,Hg As In Br,0.21505317782827985
Cs2Hg3S4,2.675,2.472450750923178,Cs Hg S,0.2025492490768217
HgS,2.3,1.7576384396298064,Hg S,0.5423615603701935
HgTe,2.88,2.7806683100120377,Hg Te,0.09933168998796216
Hg7InS6Cl5,1.0,2.9665600514073045,Hg In S Cl,-1.9665600514073045
Hg3PS3,0.49,0.3913802920410943,Hg P S,0.09861970795890568
Hg2Br2,0.45,0.8012305735756966,Hg Br,-0.3512305735756966
Hg0.8Zn0.2Te,2.4,2.2396559763637525,Hg Zn Te,0.16034402363624745
Hg0.65Cd0.35Te,1.78,1.7360704596416268,Hg Cd Te,0.04392954035837327
Ga0.9Sb0.9Hg0.1Te0.1,3.76,4.126179944510045,Ga Sb Hg Te,-0.3661799445100451
Zn0.99Hg0.01Se,0.33,1.5409457265463289,Zn Hg Se,-1.2109457265463288
Tl2Hg3Se4,2.37,2.2446085268155853,Tl Hg Se,0.1253914731844148
Hg0.796Cd0.204Te,2.4,2.4765616810489517,Hg Cd Te,-0.07656168104895222
Na2Hg3Si2S8,1.41,1.6593436295704749,Na Hg Si S,-0.24934362957047496
Cs2Hg5.75Cd0.25S7,2.8,2.723318474336099,Cs Hg Cd S,0.07668152566390063
K2Hg3S2.69Se1.31,2.27,2.0291714393460563,K Hg S Se,0.24082856065394376
K2Hg3Ge2S8,2.53,2.500699350655493,K Hg Ge S,0.02930064934450672
Na2Hg3S2.51Se1.49,2.5,2.6355528325976945,Na Hg S Se,-0.13555283259769446
K0.8Hg1.2Sn2S8,10.0,9.816187157151258,K Hg Sn S,0.18381284284874155
Hg4P2ZrCl6,1.71,1.8708651127733853,Hg P Zr Cl,-0.16086511277338533
Tl2Hg3S4,1.6,1.5554702169803942,Tl Hg S,0.04452978301960586
Hg2I2,4.99,4.728212079598007,Hg I,0.2617879204019937
Rb2HgP2Se6,0.9517142857142856,1.0295408612321193,Rb Hg P Se,-0.07782657551783367
Hg0.1Zn0.9Te,0.95,0.4250770624278299,Hg Zn Te,0.52492293757217
BaHgS2,5.2,5.069514821238085,Ba Hg S,0.1304851787619148
HgGa2S4,2.32,2.539979748438596,Hg Ga S,-0.2199797484385959
CsYHgSe3,1.78,1.4889822788643103,Cs Y Hg Se,0.2910177211356897
Li2HgGeS4,0.6,0.9332642897612944,Li Hg Ge S,-0.3332642897612944
HgIn2Te4,2.32,2.217572448355381,Hg In Te,0.10242755164461892
Ga0.99Sb0.99Hg0.01Te0.01,0.62,0.6072698202886473,Ga Sb Hg Te,0.012730179711352707
Zn0.85Hg0.15Se,0.28,1.379504965275598,Zn Hg Se,-1.099504965275598
Hg0.7Cd0.3Se,3.68,3.0653208498074465,Hg Cd Se,0.6146791501925537
HgSnO3,3.5,3.38855063196078,Hg Sn O,0.1114493680392199
Zn0.4Hg0.6Se,2.2,2.4535363103532264,Zn Hg Se,-0.2535363103532262
TlHg6Se4Br5,4.1850000000000005,4.27103233176143,Tl Hg Se Br,-0.08603233176142933
K2HgP2Se6,3.5,3.343611170741608,K Hg P Se,0.15638882925839193
Hg3PS4,4.53,4.295987002021802,Hg P S,0.23401299797819866
